Date,Open,High,Low,Close
1990-08-07,1038.87,1038.87,1038.87,1038.87
1990-08-08,1016.7,1016.7,1016.7,1016.7
1990-08-09,1023.96,1023.96,1023.96,1023.96
1990-08-10,1021.27,1021.27,1021.27,1021.27
1990-08-13,996.97,996.97,996.97,996.97
1990-08-14,1003.6,1003.6,1003.6,1003.6
1990-08-15,1001.34,1001.34,1001.34,1001.34
1990-08-16,1007.38,1007.38,1007.38,1007.38
1990-08-17,976.71,976.71,976.71,976.71
1990-08-20,952.64,952.64,952.64,952.64
1990-08-21,920.64,920.64,920.64,920.64
1990-08-22,930.22,930.22,930.22,930.22
1990-08-23,903.54,903.54,903.54,903.54
1990-08-24,919.56,919.56,919.56,919.56
1990-08-27,964.12,964.12,964.12,964.12
1990-08-28,955.84,955.84,955.84,955.84
1990-08-29,962.32,962.32,962.32,962.32
1990-08-30,969.57,969.57,969.57,969.57
1990-08-31,962.15,962.15,962.15,962.15
1990-09-03,958.14,958.14,958.14,958.14
1990-09-04,940.34,940.34,940.34,940.34
1990-09-05,940.26,940.26,940.26,940.26
1990-09-06,935.87,935.87,935.87,935.87
1990-09-07,937.84,937.84,937.84,937.84
1990-09-10,956.25,956.25,956.25,956.25
1990-09-11,947.76,947.76,947.76,947.76
1990-09-12,954.82,954.82,954.82,954.82
1990-09-13,952.68,952.68,952.68,952.68
1990-09-14,934.09,934.09,934.09,934.09
1990-09-17,924.31,924.31,924.31,924.31
1990-09-18,907.31,907.31,907.31,907.31
1990-09-19,904.25,904.25,904.25,904.25
1990-09-20,890.88,890.88,890.88,890.88
1990-09-21,886.52,886.52,886.52,886.52
1990-09-24,871.4,871.4,871.4,871.4
1990-09-25,850.99,850.99,850.99,850.99
1990-09-26,860.78,860.78,860.78,860.78
1990-09-27,860.35,860.35,860.35,860.35
1990-09-28,845.96,845.96,845.96,845.96
1990-10-01,875.4,875.4,875.4,875.4
1990-10-02,896.69,896.69,896.69,896.69
1990-10-03,891.71,891.71,891.71,891.71
1990-10-04,881.17,881.17,881.17,881.17
1990-10-05,866.85,866.85,866.85,866.85
1990-10-08,893.92,893.92,893.92,893.92
1990-10-09,877.9,877.9,877.9,877.9
1990-10-10,866.26,866.26,866.26,866.26
1990-10-11,869.63,869.63,869.63,869.63
1990-10-12,884.94,884.94,884.94,884.94
1990-10-15,891.48,891.48,891.48,891.48
1990-10-16,889.95,889.95,889.95,889.95
1990-10-17,886.78,886.78,886.78,886.78
1990-10-18,901.35,901.35,901.35,901.35
1990-10-19,910.29,910.29,910.29,910.29
1990-10-22,904.12,904.12,904.12,904.12
1990-10-23,925.33,925.33,925.33,925.33
1990-10-24,924.52,924.52,924.52,924.52
1990-10-25,916.65,916.65,916.65,916.65
1990-10-26,898.73,898.73,898.73,898.73
1990-10-29,896.33,896.33,896.33,896.33
1990-10-30,886.68,886.68,886.68,886.68
1990-10-31,889.57,889.57,889.57,889.57
1990-11-01,884.62,884.62,884.62,884.62
1990-11-02,881.74,881.74,881.74,881.74
1990-11-05,877.88,877.88,877.88,877.88
1990-11-06,876.74,876.74,876.74,876.74
1990-11-07,864.83,864.83,864.83,864.83
1990-11-08,857.62,857.62,857.62,857.62
1990-11-09,861.32,861.32,861.32,861.32
1990-11-12,872.25,872.25,872.25,872.25
1990-11-13,875.77,875.77,875.77,875.77
1990-11-14,870.61,870.61,870.61,870.61
1990-11-15,871.07,871.07,871.07,871.07
1990-11-16,872.0,872.0,872.0,872.0
1990-11-19,882.81,882.81,882.81,882.81
1990-11-20,885.13,885.13,885.13,885.13
1990-11-21,882.83,882.83,882.83,882.83
1990-11-22,889.89,889.89,889.89,889.89
1990-11-23,888.42,888.42,888.42,888.42
1990-11-26,872.01,872.01,872.01,872.01
1990-11-27,863.28,863.28,863.28,863.28
1990-11-28,864.11,864.11,864.11,864.11
1990-11-29,869.21,869.21,869.21,869.21
1990-11-30,872.81,872.81,872.81,872.81
1990-12-03,891.1,891.1,891.1,891.1
1990-12-04,884.12,884.12,884.12,884.12
1990-12-05,893.1,893.1,893.1,893.1
1990-12-06,906.2,906.2,906.2,906.2
1990-12-07,911.41,911.41,911.41,911.41
1990-12-10,908.44,908.44,908.44,908.44
1990-12-11,904.26,904.26,904.26,904.26
1990-12-12,908.03,908.03,908.03,908.03
1990-12-13,911.65,911.65,911.65,911.65
1990-12-14,909.65,909.65,909.65,909.65
1990-12-17,892.49,892.49,892.49,892.49
1990-12-18,893.1,893.1,893.1,893.1
1990-12-19,888.7,888.7,888.7,888.7
1990-12-20,870.71,870.71,870.71,870.71
1990-12-21,872.92,872.92,872.92,872.92
1990-12-24,867.05,867.05,867.05,867.05
